experiment_name,train_loss,val_loss
MLP_L1_U2_LR0001_BS500_E10000,0.2155824936926365,0.2097298800945282
MLP_L1_U8_LR0001_BS500_E10000,0.0055533217382617295,0.010927881114184856
MLP_L1_U32_LR0001_BS500_E10000,0.00046170186760718934,0.0017514030914753675
MLP_L1_U128_LR0001_BS500_E10000,6.672690005871118e-05,0.0011982409050688148
MLP_L2_U2_LR0001_BS500_E10000,0.21558259986341,0.20972777903079987
MLP_L2_U8_LR0001_BS500_E10000,0.0027212055574636906,0.004796842113137245
MLP_L2_U32_LR0001_BS500_E10000,0.00026428551791468635,0.0011269717942923307
MLP_L2_U128_LR0001_BS500_E10000,3.134850021524471e-05,0.0008120050770230591
MLP_L3_U2_LR0001_BS500_E10000,0.2155835758894682,0.20972497761249542
MLP_L3_U8_LR0001_BS500_E10000,0.001215285257785581,0.0032780172768980265
MLP_L3_U32_LR0001_BS500_E10000,8.448746029898757e-05,0.0006841425783932209
MLP_L3_U128_LR0001_BS500_E10000,8.21352132334141e-05,0.0008744740625843406
MLP_L4_U2_LR0001_BS500_E10000,0.2155882976949215,0.2097519338130951
MLP_L4_U8_LR0001_BS500_E10000,0.002730457636062056,0.0038613337092101574
MLP_L4_U32_LR0001_BS500_E10000,0.0002043190961558139,0.0008642054162919521
MLP_L4_U128_LR0001_BS500_E10000,2.788246342788625e-05,0.0009149459656327963
MLP_L5_U2_LR0001_BS500_E10000,0.07899591140449047,0.10316792130470276
MLP_L5_U8_LR0001_BS500_E10000,0.0018052147788694128,0.004989120177924633
MLP_L5_U32_LR0001_BS500_E10000,0.00010831038616743172,0.001233984949067235
MLP_L5_U128_LR0001_BS500_E10000,1.401725160121714e-05,0.0010150657035410404
MLP_L6_U2_LR0001_BS500_E10000,0.21558157540857792,0.2097357213497162
MLP_L6_U8_LR0001_BS500_E10000,0.0025936721940524876,0.0032496375497430563
MLP_L6_U32_LR0001_BS500_E10000,9.436990239919396e-05,0.0011552200885489583
MLP_L6_U128_LR0001_BS500_E10000,0.0009680745788500644,0.0024797082878649235
MLP_L7_U2_LR0001_BS500_E10000,0.2155885510146618,0.20974579453468323
MLP_L7_U8_LR0001_BS500_E10000,0.0025181806995533407,0.004707643296569586
MLP_L7_U32_LR0001_BS500_E10000,0.00028371444750519004,0.001494289143010974
MLP_L7_U128_LR0001_BS500_E10000,2.2409916709875688e-05,0.0008928446331992745
MLP_L8_U2_LR0001_BS500_E10000,0.21558470837771893,0.2097301036119461
MLP_L8_U8_LR0001_BS500_E10000,0.0027101513696834445,0.004465161357074976
MLP_L8_U32_LR0001_BS500_E10000,6.754597370672855e-05,0.0006844523595646024
MLP_L8_U128_LR0001_BS500_E10000,2.117899191489414e-05,0.0009845292661339045
MLP_L9_U2_LR0001_BS500_E10000,0.21558302268385887,0.2097277045249939
MLP_L9_U8_LR0001_BS500_E10000,0.0027828991296701133,0.004816679749637842
MLP_L9_U32_LR0001_BS500_E10000,5.2266992952354485e-05,0.0007105048862285912
MLP_L9_U128_LR0001_BS500_E10000,1.9483690607557946e-05,0.0009409479098394513
MLP_L10_U2_LR0001_BS500_E10000,0.21558296866714954,0.2097422033548355
MLP_L10_U8_LR0001_BS500_E10000,0.0029933910409454256,0.004286902025341988
MLP_L10_U32_LR0001_BS500_E10000,0.0004331106392783113,0.0010913509177044034
MLP_L10_U128_LR0001_BS500_E10000,0.0004471157808438875,0.0019305612659081817
Res_L1_U2_LR0001_BS500_E10000,0.06209880905225873,0.07160394638776779
Res_L1_U8_LR0001_BS500_E10000,0.0031418803555425256,0.0055344258435070515
Res_L1_U32_LR0001_BS500_E10000,0.0007062959484755993,0.0023474872577935457
Res_L1_U128_LR0001_BS500_E10000,0.00035000827119802125,0.0015669974964112043
Res_L2_U2_LR0001_BS500_E10000,0.07054593414068222,0.09400098025798798
Res_L2_U8_LR0001_BS500_E10000,0.003969609300838783,0.007216406986117363
Res_L2_U32_LR0001_BS500_E10000,0.0005336504073056858,0.002569320611655712
Res_L2_U128_LR0001_BS500_E10000,0.00010876598844333785,0.0013013744028285146
Res_L3_U2_LR0001_BS500_E10000,0.0709279216825962,0.09604931622743607
Res_L3_U8_LR0001_BS500_E10000,0.0049236908089369535,0.009132873266935349
Res_L3_U32_LR0001_BS500_E10000,0.0004071833463967778,0.002130480483174324
Res_L3_U128_LR0001_BS500_E10000,5.775128192908596e-05,0.0009120866889134049
Res_L4_U2_LR0001_BS500_E10000,0.2155820857733488,0.20974059402942657
Res_L4_U8_LR0001_BS500_E10000,0.003270816057920456,0.006613829638808966
Res_L4_U32_LR0001_BS500_E10000,0.0006190758358570747,0.0017956373048946261
Res_L4_U128_LR0001_BS500_E10000,0.0005669682286679745,0.0014710206305608153
Res_L5_U2_LR0001_BS500_E10000,0.15283899381756783,0.15140356123447418
Res_L5_U8_LR0001_BS500_E10000,0.003062436153413728,0.006337715778499842
Res_L5_U32_LR0001_BS500_E10000,0.000690954017045442,0.0012966571375727654
Res_L5_U128_LR0001_BS500_E10000,6.149760702101048e-05,0.0007249985355883837
Res_L6_U2_LR0001_BS500_E10000,0.07116187270730734,0.09537865966558456
Res_L6_U8_LR0001_BS500_E10000,0.004852512676734477,0.007522738538682461
Res_L6_U32_LR0001_BS500_E10000,0.0011593712770263664,0.003868094179779291
Res_L6_U128_LR0001_BS500_E10000,4.369689077066141e-05,0.0008588482160121202
Res_L7_U2_LR0001_BS500_E10000,0.16686514765024185,0.1614079624414444
Res_L7_U8_LR0001_BS500_E10000,0.006131857982836664,0.01066646259278059
Res_L7_U32_LR0001_BS500_E10000,0.0013515265745809302,0.002900330349802971
Res_L7_U128_LR0001_BS500_E10000,0.0010977331185131334,0.0025950088165700436
Res_L8_U2_LR0001_BS500_E10000,0.2149665206670761,0.21329909563064575
Res_L8_U8_LR0001_BS500_E10000,0.004984084313036874,0.013247285038232803
Res_L8_U32_LR0001_BS500_E10000,0.0004203669996059034,0.002281244145706296
Res_L8_U128_LR0001_BS500_E10000,0.00023082061852619518,0.0010683283908292651
Res_L9_U2_LR0001_BS500_E10000,0.08935383055359125,0.10785481333732605
Res_L9_U8_LR0001_BS500_E10000,0.00927008525468409,0.03444720804691315
Res_L9_U32_LR0001_BS500_E10000,0.0013404906931100413,0.0016422782791778445
Res_L9_U128_LR0001_BS500_E10000,0.00012771365072694607,0.0010504326783120632
Res_L10_U2_LR0001_BS500_E10000,0.15296040661633015,0.9541511535644531
Res_L10_U8_LR0001_BS500_E10000,0.005803898500744253,0.012325864285230637
Res_L10_U32_LR0001_BS500_E10000,0.0010030646080849692,0.0032977312803268433
Res_L10_U128_LR0001_BS500_E10000,4.384679982649686e-05,0.0011553385993465781
